generation,startTime,endTime,org.kevoree.modeling.optimization.executionmodel.Max_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.Min_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.ParetoMean_pareto,
0,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
1,1383747576360,1383747576360,1.0,0.0,0.33499999999999996,
2,1383747576360,1383747576360,1.0,0.0,0.335,
3,1383747576360,1383747576360,1.0,0.0,0.3355555555555555,
4,1383747576360,1383747576360,1.0,0.0,0.33583333333333326,
5,1383747576360,1383747576360,1.0,0.0,0.33499999999999996,
6,1383747576360,1383747576360,1.0,0.0,0.3353333333333333,
7,1383747576360,1383747576360,1.0,0.0,0.33499999999999996,
8,1383747576360,1383747576360,1.0,0.0,0.3338888888888889,
9,1383747576360,1383747576360,1.0,0.0,0.3338888888888889,
10,1383747576360,1383747576360,1.0,0.0,0.33428571428571424,
11,1383747576360,1383747576360,1.0,0.0,0.3338095238095238,
12,1383747576360,1383747576360,1.0,0.0,0.33416666666666667,
13,1383747576360,1383747576360,1.0,0.0,0.3340740740740741,
14,1383747576360,1383747576360,1.0,0.0,0.33370370370370367,
15,1383747576360,1383747576360,1.0,0.0,0.33370370370370367,
16,1383747576360,1383747576360,1.0,0.0,0.33399999999999996,
17,1383747576360,1383747576360,1.0,0.0,0.33424242424242423,
18,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
19,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
20,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
21,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
22,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
23,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
24,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
25,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
26,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
27,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
28,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
29,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
30,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
31,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
32,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
33,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
34,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
35,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
36,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
37,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
38,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
39,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
40,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
41,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
42,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
43,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
44,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
45,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
46,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
47,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
48,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
49,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
50,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
51,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
52,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
53,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
54,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
55,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
56,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
57,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
58,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
59,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
60,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
61,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
62,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
63,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
64,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
65,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
66,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
67,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
68,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
69,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
70,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
71,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
72,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
73,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
74,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
75,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
76,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
77,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
78,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
79,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
80,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
81,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
82,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
83,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
84,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
85,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
86,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
87,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
88,1383747576360,1383747576360,1.0,0.0,0.3336363636363636,
89,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
90,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
91,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
92,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
93,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
94,1383747576360,1383747576360,1.0,0.0,0.3333333333333333,
95,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
96,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
97,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
98,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
99,1383747576360,1383747576360,1.0,0.0,0.33366666666666667,
